,time_UTC,observed_data,forecast_data,offset,x,y,station_id,time_UTC_dt
,,,,,,,,
0,9/25/2022 1:00,2.56,2.315,-0.245,-73.7101944,40.8662222,1302250,0
,,,,,,,,
1,9/25/2022 2:00,2.54,3.625,1.085,-73.7101944,40.8662222,1302250,60
,,,,,,,,
2,9/25/2022 3:00,2.94,3.959,1.019,-73.7101944,40.8662222,1302250,120
,,,,,,,,
3,9/25/2022 4:00,3.27,3.747,0.477,-73.7101944,40.8662222,1302250,180
,,,,,,,,
4,9/25/2022 5:00,2.97,2.483,-0.487,-73.7101944,40.8662222,1302250,240
,,,,,,,,
5,9/25/2022 6:00,2.75,0.342,-2.408,-73.7101944,40.8662222,1302250,300
,,,,,,,,
6,9/25/2022 7:00,2.64,-1.811,-4.451,-73.7101944,40.8662222,1302250,360
,,,,,,,,
7,9/25/2022 8:00,2.58,-3.264,-5.844,-73.7101944,40.8662222,1302250,420
,,,,,,,,
8,9/25/2022 9:00,2.55,-3.92,-6.47,-73.7101944,40.8662222,1302250,480
,,,,,,,,
9,9/25/2022 10:00,2.53,-4.098,-6.628,-73.7101944,40.8662222,1302250,540
,,,,,,,,
10,9/25/2022 11:00,2.51,-3.245,-5.755,-73.7101944,40.8662222,1302250,600
,,,,,,,,
11,9/25/2022 12:00,2.5,-0.947,-3.447,-73.7101944,40.8662222,1302250,660
,,,,,,,,
12,9/25/2022 13:00,2.49,1.668,-0.822,-73.7101944,40.8662222,1302250,720
,,,,,,,,
13,9/25/2022 14:00,2.48,3.433,0.953,-73.7101944,40.8662222,1302250,780
,,,,,,,,
14,9/25/2022 15:00,3.37,4.049,0.679,-73.7101944,40.8662222,1302250,840
,,,,,,,,
15,9/25/2022 16:00,4.2,4.094,-0.106,-73.7101944,40.8662222,1302250,900
,,,,,,,,
16,9/25/2022 17:00,4.26,3.185,-1.075,-73.7101944,40.8662222,1302250,960
,,,,,,,,
17,9/25/2022 18:00,3.69,1.225,-2.465,-73.7101944,40.8662222,1302250,1020
,,,,,,,,
18,9/25/2022 19:00,3.16,-1.135,-4.295,-73.7101944,40.8662222,1302250,1080
,,,,,,,,
19,9/25/2022 20:00,2.91,-2.887,-5.797,-73.7101944,40.8662222,1302250,1140
,,,,,,,,
20,9/25/2022 21:00,2.79,-3.82,-6.61,-73.7101944,40.8662222,1302250,1200
,,,,,,,,
21,9/25/2022 22:00,2.72,-4.152,-6.872,-73.7101944,40.8662222,1302250,1260
,,,,,,,,
22,9/25/2022 23:00,2.68,-3.731,-6.411,-73.7101944,40.8662222,1302250,1320
,,,,,,,,
23,9/26/2022 0:00,2.63,-1.8,-4.43,-73.7101944,40.8662222,1302250,1380
,,,,,,,,
24,9/26/2022 1:00,2.59,0.895,-1.695,-73.7101944,40.8662222,1302250,1440
,,,,,,,,
25,9/26/2022 2:00,2.89,3.032,0.142,-73.7101944,40.8662222,1302250,1500
,,,,,,,,
26,9/26/2022 3:00,4.37,3.961,-0.409,-73.7101944,40.8662222,1302250,1560
,,,,,,,,
27,9/26/2022 4:00,5.09,4.15,-0.94,-73.7101944,40.8662222,1302250,1620
,,,,,,,,
28,9/26/2022 5:00,5.11,3.574,-1.536,-73.7101944,40.8662222,1302250,1680
,,,,,,,,
29,9/26/2022 6:00,4.62,1.839,-2.781,-73.7101944,40.8662222,1302250,1740
,,,,,,,,
30,9/26/2022 7:00,3.99,-0.569,-4.559,-73.7101944,40.8662222,1302250,1800
,,,,,,,,
31,9/26/2022 8:00,3.38,-2.555,-5.935,-73.7101944,40.8662222,1302250,1860
,,,,,,,,
32,9/26/2022 9:00,3.04,-3.733,-6.773,-73.7101944,40.8662222,1302250,1920
,,,,,,,,
33,9/26/2022 10:00,2.87,-4.184,-7.054,-73.7101944,40.8662222,1302250,1980
,,,,,,,,
34,9/26/2022 11:00,2.7,-4.078,-6.778,-73.7101944,40.8662222,1302250,2040
,,,,,,,,
35,9/26/2022 12:00,2.5,-2.528,-5.028,-73.7101944,40.8662222,1302250,2100
,,,,,,,,
36,9/26/2022 13:00,2.43,0.233,-2.197,-73.7101944,40.8662222,1302250,2160
,,,,,,,,
37,9/26/2022 14:00,2.41,2.741,0.331,-73.7101944,40.8662222,1302250,2220
,,,,,,,,
38,9/26/2022 15:00,2.78,4.062,1.282,-73.7101944,40.8662222,1302250,2280
,,,,,,,,
39,9/26/2022 16:00,4.24,4.432,0.192,-73.7101944,40.8662222,1302250,2340
,,,,,,,,
40,9/26/2022 17:00,4.43,4.193,-0.237,-73.7101944,40.8662222,1302250,2400
,,,,,,,,
41,9/26/2022 18:00,4.04,2.692,-1.348,-73.7101944,40.8662222,1302250,2460
,,,,,,,,
42,9/26/2022 19:00,3.43,0.309,-3.121,-73.7101944,40.8662222,1302250,2520
,,,,,,,,
43,9/26/2022 20:00,3.08,-1.984,-5.064,-73.7101944,40.8662222,1302250,2580
,,,,,,,,
44,9/26/2022 21:00,2.88,-3.483,-6.363,-73.7101944,40.8662222,1302250,2640
,,,,,,,,
45,9/26/2022 22:00,2.79,-4.212,-7.002,-73.7101944,40.8662222,1302250,2700
,,,,,,,,
46,9/26/2022 23:00,2.72,-4.445,-7.165,-73.7101944,40.8662222,1302250,2760
,,,,,,,,
47,9/27/2022 0:00,2.69,-3.512,-6.202,-73.7101944,40.8662222,1302250,2820
,,,,,,,,
48,9/27/2022 1:00,2.52,-0.993,-3.513,-73.7101944,40.8662222,1302250,2880
,,,,,,,,
49,9/27/2022 2:00,2.52,1.766,-0.754,-73.7101944,40.8662222,1302250,2940
,,,,,,,,
50,9/27/2022 3:00,2.59,3.549,0.959,-73.7101944,40.8662222,1302250,3000
,,,,,,,,
51,9/27/2022 4:00,4.15,4.126,-0.024,-73.7101944,40.8662222,1302250,3060
,,,,,,,,
52,9/27/2022 5:00,4.58,4.158,-0.422,-73.7101944,40.8662222,1302250,3120
,,,,,,,,
53,9/27/2022 6:00,4.56,3.147,-1.413,-73.7101944,40.8662222,1302250,3180
,,,,,,,,
54,9/27/2022 7:00,3.98,1.02,-2.96,-73.7101944,40.8662222,1302250,3240
,,,,,,,,
