index,Unnamed: 0,time_UTC,observed_data,forecast_data,offset,x,y,station_id,time_UTC_dt
1,0.0,2022-09-25 01:00:00,2.56,2.315,-0.245,-73.7101944,40.8662222,1302250.0,0.0
3,1.0,2022-09-25 02:00:00,2.54,3.625,1.085,-73.7101944,40.8662222,1302250.0,60.0
5,2.0,2022-09-25 03:00:00,2.94,3.959,1.019,-73.7101944,40.8662222,1302250.0,120.0
7,3.0,2022-09-25 04:00:00,3.27,3.747,0.476999999999999,-73.7101944,40.8662222,1302250.0,180.0
9,4.0,2022-09-25 05:00:00,2.97,2.483,-0.487,-73.7101944,40.8662222,1302250.0,240.0
11,5.0,2022-09-25 06:00:00,2.75,0.342,-2.408,-73.7101944,40.8662222,1302250.0,300.0
13,6.0,2022-09-25 07:00:00,2.64,-1.811,-4.451,-73.7101944,40.8662222,1302250.0,360.0
15,7.0,2022-09-25 08:00:00,2.58,-3.264,-5.84399999999999,-73.7101944,40.8662222,1302250.0,420.0
17,8.0,2022-09-25 09:00:00,2.55,-3.92,-6.47,-73.7101944,40.8662222,1302250.0,480.0
19,9.0,2022-09-25 10:00:00,2.53,-4.098,-6.628,-73.7101944,40.8662222,1302250.0,540.0
21,10.0,2022-09-25 11:00:00,2.51,-3.245,-5.755,-73.7101944,40.8662222,1302250.0,600.0
23,11.0,2022-09-25 12:00:00,2.5,-0.947,-3.447,-73.7101944,40.8662222,1302250.0,660.0
25,12.0,2022-09-25 13:00:00,2.49,1.668,-0.822,-73.7101944,40.8662222,1302250.0,720.0
27,13.0,2022-09-25 14:00:00,2.48,3.433,0.952999999999999,-73.7101944,40.8662222,1302250.0,780.0
29,14.0,2022-09-25 15:00:00,3.37,4.049,0.679,-73.7101944,40.8662222,1302250.0,840.0
31,15.0,2022-09-25 16:00:00,4.2,4.094,-0.105999999999999,-73.7101944,40.8662222,1302250.0,900.0
33,16.0,2022-09-25 17:00:00,4.26,3.185,-1.07499999999999,-73.7101944,40.8662222,1302250.0,960.0
35,17.0,2022-09-25 18:00:00,3.69,1.225,-2.465,-73.7101944,40.8662222,1302250.0,1020.0
37,18.0,2022-09-25 19:00:00,3.16,-1.135,-4.295,-73.7101944,40.8662222,1302250.0,1080.0
39,19.0,2022-09-25 20:00:00,2.91,-2.887,-5.797,-73.7101944,40.8662222,1302250.0,1140.0
41,20.0,2022-09-25 21:00:00,2.79,-3.82,-6.60999999999999,-73.7101944,40.8662222,1302250.0,1200.0
43,21.0,2022-09-25 22:00:00,2.72,-4.152,-6.872,-73.7101944,40.8662222,1302250.0,1260.0
45,22.0,2022-09-25 23:00:00,2.68,-3.731,-6.411,-73.7101944,40.8662222,1302250.0,1320.0
47,23.0,2022-09-26 00:00:00,2.63,-1.8,-4.43,-73.7101944,40.8662222,1302250.0,1380.0
49,24.0,2022-09-26 01:00:00,2.59,0.895,-1.69499999999999,-73.7101944,40.8662222,1302250.0,1440.0
51,25.0,2022-09-26 02:00:00,2.89,3.032,0.141999999999999,-73.7101944,40.8662222,1302250.0,1500.0
53,26.0,2022-09-26 03:00:00,4.37,3.961,-0.409,-73.7101944,40.8662222,1302250.0,1560.0
55,27.0,2022-09-26 04:00:00,5.09,4.15,-0.939999999999999,-73.7101944,40.8662222,1302250.0,1620.0
57,28.0,2022-09-26 05:00:00,5.11,3.574,-1.536,-73.7101944,40.8662222,1302250.0,1680.0
59,29.0,2022-09-26 06:00:00,4.62,1.839,-2.781,-73.7101944,40.8662222,1302250.0,1740.0
61,30.0,2022-09-26 07:00:00,3.99,-0.569,-4.559,-73.7101944,40.8662222,1302250.0,1800.0
63,31.0,2022-09-26 08:00:00,3.38,-2.555,-5.935,-73.7101944,40.8662222,1302250.0,1860.0
65,32.0,2022-09-26 09:00:00,3.04,-3.733,-6.773,-73.7101944,40.8662222,1302250.0,1920.0
67,33.0,2022-09-26 10:00:00,2.87,-4.184,-7.054,-73.7101944,40.8662222,1302250.0,1980.0
69,34.0,2022-09-26 11:00:00,2.7,-4.078,-6.778,-73.7101944,40.8662222,1302250.0,2040.0
71,35.0,2022-09-26 12:00:00,2.5,-2.528,-5.028,-73.7101944,40.8662222,1302250.0,2100.0
73,36.0,2022-09-26 13:00:00,2.43,0.233,-2.197,-73.7101944,40.8662222,1302250.0,2160.0
75,37.0,2022-09-26 14:00:00,2.41,2.741,0.330999999999999,-73.7101944,40.8662222,1302250.0,2220.0
77,38.0,2022-09-26 15:00:00,2.78,4.062,1.282,-73.7101944,40.8662222,1302250.0,2280.0
79,39.0,2022-09-26 16:00:00,4.24,4.432,0.192,-73.7101944,40.8662222,1302250.0,2340.0
81,40.0,2022-09-26 17:00:00,4.43,4.193,-0.237,-73.7101944,40.8662222,1302250.0,2400.0
83,41.0,2022-09-26 18:00:00,4.04,2.692,-1.34799999999999,-73.7101944,40.8662222,1302250.0,2460.0
85,42.0,2022-09-26 19:00:00,3.43,0.309,-3.121,-73.7101944,40.8662222,1302250.0,2520.0
87,43.0,2022-09-26 20:00:00,3.08,-1.984,-5.064,-73.7101944,40.8662222,1302250.0,2580.0
89,44.0,2022-09-26 21:00:00,2.88,-3.483,-6.36299999999999,-73.7101944,40.8662222,1302250.0,2640.0
91,45.0,2022-09-26 22:00:00,2.79,-4.212,-7.002,-73.7101944,40.8662222,1302250.0,2700.0
93,46.0,2022-09-26 23:00:00,2.72,-4.445,-7.165,-73.7101944,40.8662222,1302250.0,2760.0
95,47.0,2022-09-27 00:00:00,2.69,-3.512,-6.202,-73.7101944,40.8662222,1302250.0,2820.0
97,48.0,2022-09-27 01:00:00,2.52,-0.993,-3.513,-73.7101944,40.8662222,1302250.0,2880.0
99,49.0,2022-09-27 02:00:00,2.52,1.766,-0.754,-73.7101944,40.8662222,1302250.0,2940.0
101,50.0,2022-09-27 03:00:00,2.59,3.549,0.959,-73.7101944,40.8662222,1302250.0,3000.0
103,51.0,2022-09-27 04:00:00,4.15,4.126,-0.024,-73.7101944,40.8662222,1302250.0,3060.0
105,52.0,2022-09-27 05:00:00,4.58,4.158,-0.421999999999999,-73.7101944,40.8662222,1302250.0,3120.0
107,53.0,2022-09-27 06:00:00,4.56,3.147,-1.41299999999999,-73.7101944,40.8662222,1302250.0,3180.0
